pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1654,,,chore: bump main branch to 1.9,2026-01-05,0.0,1,1,10,8,18,0,0,0,0,18,0,0,0,1
1653,RHDHBUGS-2226,1,[release-1.8] RHDHBUGS-2226: GitHub authentication docs issue,2026-01-05,0.0,1,1,2,2,4,0,0,0,0,4,0,0,0,1
1652,RHDHBUGS-2312,2,[release-1.8] RHDHBUGS-2312 Fix !:previouscontext:,2026-01-05,0.0,1,5,5,5,10,0,0,0,0,10,0,0,0,1
1651,RHIDP-11244,1,RHIDP-11244: Bump Openshift Serverless Logic version to 1.37,2026-01-08,3.0,2,5,36,35,71,0,0,0,0,71,0,0,0,10
1650,RHIDP-9701,2,RHIDP-9701: v1alpha3 deprecation,2026-01-05,18.0,4,14,25,25,50,0,0,0,0,50,0,0,0,5
1649,RHIDP-8377,13,RHIDP-8377: End user documentation ,2026-02-19,63.3,6,52,1209,247,1456,5,5,0,5,1461,35,0,0,41
1648,RHDHBUGS-2312,2,RHDHBUGS-2312 Fix !:previouscontext:,2026-01-05,20.9,12,5,5,5,10,0,0,0,0,10,0,0,0,3
1647,RHIDP-11072,,RHIDP-11072: update workflows to be more secure,2026-01-08,23.8,6,0,0,0,0,1,48,9,57,57,0,0,0,8
1615,RHIDP-10990,1,RHIDP-10990: adding Italian and Japanese to the list of supported languages,2026-01-22,50.6,6,5,38,29,67,0,0,0,0,67,0,0,0,8
1582,RHDHBUGS-2226,1,RHDHBUGS-2226: GitHub authentication docs issue,2026-01-05,49.1,3,1,2,2,4,0,0,0,0,4,0,0,0,1
